age,gender,race,span_hisp_latin,marital_status,education_level,active_certification_license,disability,health_status,insurance_coverage_flag,citizenship,birth_country,immigration_period,employed_or_not,worker_class,industry,total_income,taxable_income,poverty_category,child_outside_household,child_support_flag,annual_child_support,household_status,metropolitan_status,state,region,household_income,financial_assistance_flag
34,2,1,2,1,43,1,2,2,1,1,57,0,1,1,10,27029,0,4,2,0,0,2,1,23,1,75029,2
36,1,1,2,5,43,2,2,1,1,1,57,0,1,1,4,78430,65204,4,1,1,3600,1,1,23,1,176340,2
33,2,1,2,1,39,2,2,3,1,1,57,0,6,0,0,7200,0,1,2,0,0,1,1,23,1,8616,2
28,2,1,2,1,41,1,2,1,1,1,57,0,1,1,10,73055,137520,4,2,0,0,1,1,23,1,161520,2
29,1,1,2,1,41,2,2,1,1,1,57,0,1,1,4,88465,0,4,2,0,0,2,1,23,1,161520,2
30,1,1,2,7,43,2,2,1,1,1,57,0,1,1,12,63000,43478,4,2,0,0,1,1,23,1,119200,2
31,1,1,2,7,43,1,2,1,1,1,57,0,7,0,0,2032,5032,4,2,0,0,5,1,23,1,441532,2
24,1,1,2,7,40,2,2,3,1,1,57,0,1,1,9,19000,7000,4,2,0,0,5,1,23,1,117763,2
37,1,1,2,5,41,2,1,4,1,1,57,0,1,1,7,38221,20221,4,2,0,0,1,1,23,1,99421,2
30,1,1,2,7,41,2,2,3,1,5,128,21,1,1,4,100010,83422,4,2,0,0,6,1,23,1,175091,2
26,1,1,2,7,44,2,2,1,1,1,57,0,1,1,9,70230,52588,4,2,0,0,1,1,23,1,70230,2
28,2,1,2,7,39,2,2,4,1,1,57,0,2,1,11,0,0,4,2,0,0,5,1,23,1,236626,2
31,2,1,2,7,43,2,2,1,1,1,57,0,1,1,10,30000,18000,4,2,0,0,1,1,23,1,30000,2
36,1,1,2,7,43,2,2,1,1,1,57,0,1,1,5,150493,130243,4,2,0,0,1,1,23,1,181845,2
34,2,1,2,7,43,2,2,1,1,1,57,0,1,1,9,100300,75474,4,2,0,0,1,1,23,1,100300,2
27,2,6,2,7,39,1,2,1,1,1,57,0,1,1,10,6000,0,1,2,0,0,1,1,23,1,26100,2
37,2,1,2,1,43,1,2,1,1,1,57,0,1,4,10,56060,82105,4,2,0,0,1,1,23,1,106093,2
38,1,1,2,1,43,2,2,1,1,1,57,0,1,1,3,50033,0,4,2,0,0,2,1,23,1,106093,2
38,2,1,2,1,43,1,2,4,1,1,57,0,1,1,8,42877,0,4,2,0,0,2,1,23,1,255098,2
23,1,7,2,7,39,2,1,1,1,1,57,0,7,0,0,9415,0,1,2,0,0,1,1,23,1,9415,2
33,2,1,2,1,40,2,2,3,1,1,57,0,1,1,8,15501,118796,4,2,0,0,1,1,23,1,143004,2
37,2,1,2,1,41,2,2,1,1,1,57,0,1,1,8,87132,0,4,2,0,0,2,1,23,1,164919,2
28,1,1,2,3,44,1,2,1,1,1,57,0,1,4,10,43030,25030,4,2,0,0,1,1,23,1,87911,2
37,1,1,2,1,45,1,2,2,1,1,57,0,1,6,9,254551,158965,4,2,0,0,1,1,23,1,307591,2
33,1,1,2,1,39,1,2,2,2,1,57,0,1,1,8,54001,50002,4,2,0,0,1,1,23,1,74002,2
31,2,1,2,1,39,1,2,2,2,1,57,0,1,1,12,20001,0,4,2,0,0,2,1,23,1,74002,2
35,2,1,2,1,44,1,2,2,1,1,57,0,1,1,10,48059,79870,4,2,0,0,1,1,23,1,123109,2
27,2,1,2,7,40,2,2,2,1,1,57,0,1,1,5,40001,28001,4,2,0,0,1,1,23,1,123941,2
31,2,1,2,7,39,2,2,1,2,1,57,0,1,1,5,20560,8560,4,2,0,0,5,1,23,1,82061,2
27,2,1,2,7,39,2,1,2,2,1,57,0,7,0,0,0,0,4,2,0,0,5,1,23,1,82061,2
25,2,1,2,7,39,2,2,1,1,1,57,0,7,0,0,0,0,4,2,0,0,5,1,23,1,82061,2
23,2,1,2,7,40,2,2,2,1,1,57,0,7,0,0,180,0,1,2,0,0,1,1,23,1,30183,2
